03/13/2020 07:49:29 PM 
------------ Options -------------
data-dir: ../../datasets/CASIA-WebFace
batch_size: 200
epochs: 3
training_name: test
Opt: 1
Opt_level: O2
Cropping: 0
-------------- End ---------------
03/13/2020 07:49:46 PM Valid |   148/419  | loss:    9.8599 | fps: 2938.8452 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   149/419  | loss:    9.8598 | fps: 2937.2598 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   150/419  | loss:    9.8599 | fps: 2939.5256 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   151/419  | loss:    9.8595 | fps: 2939.8679 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   152/419  | loss:    9.8594 | fps: 2940.3218 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   153/419  | loss:    9.8593 | fps: 2937.6360 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   154/419  | loss:    9.8591 | fps: 2941.2805 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   155/419  | loss:    9.8592 | fps: 2940.7712 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   156/419  | loss:    9.8592 | fps: 2940.7629 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   157/419  | loss:    9.8593 | fps: 2941.1631 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   158/419  | loss:    9.8592 | fps: 2941.3894 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   159/419  | loss:    9.8595 | fps: 2941.9998 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   160/419  | loss:    9.8594 | fps: 2941.6062 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   161/419  | loss:    9.8597 | fps: 2941.7122 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   162/419  | loss:    9.8599 | fps: 2941.9578 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   163/419  | loss:    9.8602 | fps: 2942.2297 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   164/419  | loss:    9.8601 | fps: 2941.6472 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   165/419  | loss:    9.8598 | fps: 2941.5950 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   166/419  | loss:    9.8597 | fps: 2942.1165 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   167/419  | loss:    9.8598 | fps: 2942.7104 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   168/419  | loss:    9.8596 | fps: 2942.9465 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   169/419  | loss:    9.8596 | fps: 2943.4492 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   170/419  | loss:    9.8598 | fps: 2943.8718 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   171/419  | loss:    9.8597 | fps: 2944.1555 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   172/419  | loss:    9.8600 | fps: 2942.8938 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   173/419  | loss:    9.8600 | fps: 2943.5371 | acc:    0.0000   
03/13/2020 07:49:47 PM Valid |   174/419  | loss:    9.8600 | fps: 2943.4832 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   175/419  | loss:    9.8597 | fps: 2943.8269 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   176/419  | loss:    9.8600 | fps: 2943.7188 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   177/419  | loss:    9.8597 | fps: 2944.1660 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   178/419  | loss:    9.8596 | fps: 2944.9163 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   179/419  | loss:    9.8597 | fps: 2945.2710 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   180/419  | loss:    9.8596 | fps: 2944.5737 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   181/419  | loss:    9.8594 | fps: 2944.9167 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   182/419  | loss:    9.8593 | fps: 2945.0686 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   183/419  | loss:    9.8594 | fps: 2945.0156 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   184/419  | loss:    9.8590 | fps: 2945.2854 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   185/419  | loss:    9.8593 | fps: 2945.6533 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   186/419  | loss:    9.8589 | fps: 2946.1958 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   187/419  | loss:    9.8591 | fps: 2946.5786 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   188/419  | loss:    9.8592 | fps: 2946.2830 | acc:    0.0000   
03/13/2020 07:49:48 PM Valid |   189/419  | loss:    9.8588 | fps: 2946.3491 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   190/419  | loss:    9.8584 | fps: 2945.8250 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   191/419  | loss:    9.8586 | fps: 2946.2874 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   192/419  | loss:    9.8585 | fps: 2946.9646 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   193/419  | loss:    9.8588 | fps: 2947.0767 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   194/419  | loss:    9.8588 | fps: 2946.5535 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   195/419  | loss:    9.8594 | fps: 2946.4382 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   196/419  | loss:    9.8593 | fps: 2945.7720 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   197/419  | loss:    9.8595 | fps: 2944.9849 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   198/419  | loss:    9.8596 | fps: 2945.3154 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   199/419  | loss:    9.8594 | fps: 2946.1125 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   200/419  | loss:    9.8596 | fps: 2944.8518 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   201/419  | loss:    9.8595 | fps: 2946.6411 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   202/419  | loss:    9.8595 | fps: 2946.9170 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   203/419  | loss:    9.8595 | fps: 2947.3486 | acc:    0.0000   
03/13/2020 07:49:49 PM Valid |   204/419  | loss:    9.8592 | fps: 2946.7844 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   205/419  | loss:    9.8588 | fps: 2947.0342 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   206/419  | loss:    9.8588 | fps: 2947.2729 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   207/419  | loss:    9.8588 | fps: 2947.6848 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   208/419  | loss:    9.8588 | fps: 2947.6135 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   209/419  | loss:    9.8589 | fps: 2947.7168 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   210/419  | loss:    9.8592 | fps: 2947.5391 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   211/419  | loss:    9.8589 | fps: 2947.1750 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   212/419  | loss:    9.8589 | fps: 2946.7957 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   213/419  | loss:    9.8589 | fps: 2947.1028 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   214/419  | loss:    9.8588 | fps: 2947.4922 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   215/419  | loss:    9.8590 | fps: 2947.7844 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   216/419  | loss:    9.8591 | fps: 2947.7676 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   217/419  | loss:    9.8596 | fps: 2947.5422 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   218/419  | loss:    9.8598 | fps: 2947.9709 | acc:    0.0000   
03/13/2020 07:49:50 PM Valid |   219/419  | loss:    9.8599 | fps: 2947.7061 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   220/419  | loss:    9.8598 | fps: 2947.4497 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   221/419  | loss:    9.8599 | fps: 2947.7190 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   222/419  | loss:    9.8595 | fps: 2947.9331 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   223/419  | loss:    9.8594 | fps: 2948.2744 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   224/419  | loss:    9.8592 | fps: 2948.1797 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   225/419  | loss:    9.8593 | fps: 2947.7073 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   226/419  | loss:    9.8593 | fps: 2947.6724 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   227/419  | loss:    9.8591 | fps: 2947.7073 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   228/419  | loss:    9.8591 | fps: 2946.7908 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   229/419  | loss:    9.8588 | fps: 2947.6199 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   230/419  | loss:    9.8590 | fps: 2947.8982 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   231/419  | loss:    9.8589 | fps: 2948.2766 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   232/419  | loss:    9.8589 | fps: 2948.4348 | acc:    0.0000   
03/13/2020 07:49:51 PM Valid |   233/419  | loss:    9.8591 | fps: 2948.4521 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   234/419  | loss:    9.8592 | fps: 2948.5537 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   235/419  | loss:    9.8594 | fps: 2948.6252 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   236/419  | loss:    9.8594 | fps: 2947.5134 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   237/419  | loss:    9.8595 | fps: 2948.4636 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   238/419  | loss:    9.8596 | fps: 2948.7617 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   239/419  | loss:    9.8596 | fps: 2948.6384 | acc:    0.0000   
03/13/2020 07:49:52 PM Valid |   240/419  | loss:    9.8597 | fps: 2947.7610 | acc:    0.0000   
